Country,City,AQI_value,AQI_category,CO_AQI_value,CO_AQI_category,Ozone_AQI_value,Ozone_AQI_category,NO2_AQI_value,NO2_AQI_category,PM2_5_AQI_value,PM2_5_AQI_category,latitude,longitude,Description
Russian Federation,Praskoveya,51,Moderate,1,Good,36,Good,0,Good,51,Moderate,44.7444,44.2031,"""No description provided"""
Brazil,Presidente Dutra,41,Good,1,Good,5,Good,1,Good,41,Good,-5.29,-44.49,"""No description provided"""
Italy,Priolo Gargallo,66,Moderate,1,Good,39,Good,2,Good,66,Moderate,37.1667,15.1833,"""Priolo Gargallo is a comune (municipality) in the Province of Syracuse, Sicily. It is about 190 kilometres (120 mi) southeast of Palermo and about 13 kilometres (8 mi) northwest of Syracuse."""
Poland,Przasnysz,34,Good,1,Good,34,Good,0,Good,20,Good,53.0167,20.8833,"""Przasnysz is a town in north-central Poland. Located in the Masovian Voivodship, about 110 km north of Warsaw and about 115 km south of Olsztyn, it is the capital of Przasnysz County. It has 18,093 inhabitants (2004). It was one of the most important towns in Mazovia during the Middle Ages. Przasnysz was granted town privileges in 1427."""
United States of America,Punta Gorda,54,Moderate,1,Good,14,Good,11,Good,54,Moderate,16.1005,-88.8074,"""No description provided"""
Belgium,Puurs,64,Moderate,1,Good,29,Good,7,Good,64,Moderate,51.0761,4.2803,"""Puurs is a former municipality located in the Belgian province of Antwerp. It is located in the Flemish Region. The municipality comprised the towns of Breendonk, Liezele, Kalfort, Ruisbroek and Puurs proper. There is also the hamlet of Kalfort. In 2021, Puurs had a total population of 17,684. The total area is 33.41 km2 (13 sq mi)."""
Russian Federation,Pyatigorsk,54,Moderate,1,Good,41,Good,1,Good,54,Moderate,44.05,43.0667,"""Pyatigorsk is a city in Stavropol Krai, Russia, located on the Podkumok River, about 20 kilometers (12 mi) from the town of Mineralnye Vody, which has an international airport, and about 45 kilometers (28 mi) from Kislovodsk. Since January 19, 2010, it has been the administrative center of the North Caucasian Federal District of Russia. Population: 142,511 (2010 Census); 140,559 (2002 Census); 129,499 (1989 Soviet census)."""
China,Qinzhou,68,Moderate,2,Good,68,Moderate,1,Good,58,Moderate,21.95,108.6167,"""Qinzhou is a prefecture-level city in south-central Guangxi, southern China, lying on the Gulf of Tonkin and having a total population of 3,302,238 as of the 2020 census whom 1,400,134 lived in the built-up area made of Qinbei and Qinnan urban Districts."""
Netherlands,Raalte,41,Good,1,Good,24,Good,6,Good,41,Good,52.3833,6.2667,"""Raalte is a municipality and a town in the heart of the region of Salland in the Dutch province of Overijssel."""
France,Raismes,59,Moderate,1,Good,30,Good,4,Good,59,Moderate,50.3892,3.4858,"""Raismes is a commune in the Nord department in northern France. The flutist Gaston Blanquart (1877–1962) was born in Raismes."""
Italy,Ramacca,55,Moderate,1,Good,47,Good,0,Good,55,Moderate,37.3833,14.7,"""Ramacca is a comune (municipality) in a mountainous area in the Metropolitan City of Catania in the Italian region of Sicily, located about 140 kilometres (87 mi) southeast of Palermo and about 35 kilometres (22 mi) southwest of Catania. It lies west of the Plain of Catania. Ramacca borders the following municipalities: Agira, Aidone, Assoro, Belpasso, Castel di Judica, Lentini, Mineo, Palagonia, Paternò, Raddusa."""
United States of America,Phoenix,72,Moderate,1,Good,4,Good,23,Good,72,Moderate,33.5722,-112.0892,"""No description provided"""
Poland,Piaseczno,28,Good,1,Good,28,Good,2,Good,28,Good,52.0667,21.0167,"""Piaseczno is a town in east-central Poland with 47,660 inhabitants. It is situated in the Masovian Voivodeship, within the Warsaw metropolitan area, just south of Warsaw, approximately 16 kilometres south of its center. It is a residential area and a suburb of Warsaw. It is the capital city of Piaseczno County."""
Brazil,Pinheiral,154,Unhealthy,5,Good,0,Good,13,Good,154,Unhealthy,-22.5128,-44.0008,"""Pinheiral is a municipality located in the Brazilian state of Rio de Janeiro. Its population was 25,364 (2020) and its area is 77 km2 (30 sq mi)."""
Colombia,Plato,67,Moderate,1,Good,16,Good,2,Good,67,Moderate,9.7919,-74.7872,"""Plato was an ancient Greek philosopher of the Classical period who is considered a foundational thinker in Western philosophy and an innovator of the written dialogue and dialectic forms. He influenced all the major areas of theoretical philosophy and practical philosophy, and was the founder of the Platonic Academy, a philosophical school in Athens where Plato taught the doctrines that would later become known as Platonism."""
Romania,Poiana Mare,62,Moderate,1,Good,37,Good,1,Good,62,Moderate,43.9333,23.0833,"""Poiana Mare is a commune in Dolj County, Oltenia, Romania with a population of 9,047 as of 2021. It is composed of three villages: Poiana Mare, Tunarii Noi, and Tunarii Vechi."""
Russian Federation,Polevskoy,31,Good,1,Good,31,Good,0,Good,17,Good,56.45,60.1833,"""Polevskoy is a town in Sverdlovsk Oblast, Russia, located 50 kilometers (31 mi) southwest of Yekaterinburg, the administrative center of the oblast. Population: 64,220 (2010 Census); 66,761 (2002 Census); 70,632 (1989 Soviet census); 60,000 (1974); 25,000 (1939)."""
France,Pontarlier,56,Moderate,1,Good,35,Good,0,Good,56,Moderate,46.9061,6.3547,"""Pontarlier is a commune and one of the two sub-prefectures of the Doubs department in the Bourgogne-Franche-Comté region in eastern France near the Swiss border."""
United States of America,Pontiac,77,Moderate,2,Good,22,Good,15,Good,77,Moderate,42.6493,-83.2878,"""No description provided"""
Indonesia,Pontianak,44,Good,1,Good,15,Good,0,Good,44,Good,-0.0206,109.3414,"""Pontianak, also known as Khuntien in Teochew and Hakka, is the capital of the Indonesian province of West Kalimantan, founded first as a trading port on the island of Borneo, occupying an area of 118.21 km2 in the delta of the Kapuas River, at a point where it is joined by its major tributary, the Landak River. The city is on the equator, hence it is widely known as Kota Khatulistiwa. The city center is less than 3 kilometres (2 mi) south of the equator. Pontianak is the 23rd most populous city in Indonesia, and the fourth most populous city on the island of Borneo (Kalimantan) after Samarinda, Balikpapan and (Malaysia's) Kuching; it is now slightly ahead of Banjarmasin. It had a population of 658,685 at the 2020 Census within the city limits, with significant suburbs outside those limits. The official estimate as of mid-2023 was 675,468."""
Brazil,Porecatu,30,Good,1,Good,9,Good,2,Good,30,Good,-22.7558,-51.3789,"""Porecatu is a city in the state of Paraná, Brazil, located at around, at the margins of the Paranapanema River. Its economy is mainly based on agriculture with the sugarcane being the most important product. As of 2020, the estimated population was 12,748."""
Finland,Pori,30,Good,1,Good,30,Good,1,Good,15,Good,61.4833,21.8,"""Pori is a city in Finland and the regional capital of Satakunta. It is located on the west coast of the country, on the Gulf of Bothnia. The population of Pori is approximately 83,000, while the sub-region has a population of approximately 128,000. It is the 10th most populous municipality in Finland, and the eighth most populous urban area in the country."""
South Africa,Port Elizabeth,79,Moderate,3,Good,18,Good,5,Good,79,Moderate,-33.9581,25.6,"""Gqeberha, formerly named Port Elizabeth, and colloquially referred to as P.E., is a major seaport and the most populous city in the Eastern Cape province of South Africa. It is the seat of the Nelson Mandela Bay Metropolitan Municipality, South Africa's second-smallest metropolitan municipality by area. It is the sixth-most populous city in South Africa and is the cultural, economic and financial hub of the Eastern Cape."""
United States of America,Port Neches,34,Good,1,Good,19,Good,7,Good,34,Good,29.9765,-93.9459,"""Port Neches is a city in Jefferson County, Texas, United States. The population was 13,692 at the 2020 census, an increase over the figure of 13,040 tabulated in 2010. It is part of the Beaumont–Port Arthur metropolitan area."""
United Kingdom of Great Britain and Northern Ireland,Port Talbot,51,Moderate,1,Good,20,Good,5,Good,51,Moderate,51.5906,-3.7986,"""Port Talbot is a town and community in the county borough of Neath Port Talbot, Wales, situated on the east side of Swansea Bay, approximately eight miles from Swansea. The Port Talbot Steelworks covers a large area of land which dominates the south east of the town. It is the largest steelworks in the United Kingdom, and one of the largest in the world, but has been under threat of closure since the 1980s. The population was 31,550 in 2021, comprising about a fifth of the 141,931 population of Neath Port Talbot."""
United States of America,Portales,77,Moderate,1,Good,34,Good,0,Good,77,Moderate,34.1754,-103.3565,"""No description provided"""
